name,teammate,g.x,w,l,w_percent
Ray Allen,Kevin Garnett,380,257,123,0.676
Ray Allen,LeBron James,185,133,52,0.719
Ray Allen,Chris Bosh,185,131,54,0.708
Ray Allen,Dwyane Wade,159,114,45,0.717
Ray Allen,Shaquille O'Neal,39,29,10,0.744
Ray Allen,Toni Kukoč,31,19,12,0.613
Reggie Miller,Chris Mullin,214,143,71,0.668
Reggie Miller,Tim Hardaway,14,8,6,0.571
Richie Guerin,Lenny Wilkens,312,166,146,0.532
Richie Guerin,Zelmo Beaty,304,162,142,0.533
Richie Guerin,Carl Braun,276,131,145,0.475
Richie Guerin,Cliff Hagan,229,122,107,0.533
Richie Guerin,Rod Thorn,131,62,69,0.473
Richie Guerin,Bob Pettit,129,74,55,0.574
Richie Guerin,Lou Hudson,126,62,64,0.492
Richie Guerin,Nat Clifton,72,36,36,0.5
Richie Guerin,Dick McGuire,72,36,36,0.5
Richie Guerin,Harry Gallatin,72,36,36,0.5
Richie Guerin,Tom Gola,53,14,39,0.264
Richie Guerin,Slater Martin,13,8,5,0.615
Richie Guerin,Walt Bellamy,5,1,4,0.2
Rick Barry,Nate Thurmond,300,160,140,0.533
Rick Barry,Jamaal Wilkes,274,170,104,0.62
Rick Barry,Robert Parish,166,89,77,0.536
Rick Barry,Al Attles,161,79,82,0.491
Rick Barry,Moses Malone,160,81,79,0.506
Rick Barry,Calvin Murphy,157,81,76,0.516
Rick Barry,Guy Rodgers,79,35,44,0.443
Robert Parish,Kevin McHale,1106,754,352,0.682
Robert Parish,Larry Bird,941,678,263,0.721
Robert Parish,Dennis Johnson,627,437,190,0.697
Robert Parish,Tiny Archibald,240,171,69,0.713
Robert Parish,Rick Barry,166,89,77,0.536
Robert Parish,Bill Walton,117,96,21,0.821
Robert Parish,Jo Jo White,92,34,58,0.37
Robert Parish,Jamaal Wilkes,81,44,37,0.543
Robert Parish,Alonzo Mourning,80,48,32,0.6
Robert Parish,Dino Radja,72,28,44,0.389
Robert Parish,Artis Gilmore,53,32,21,0.604
Robert Parish,Scottie Pippen,45,37,8,0.822
Robert Parish,Michael Jordan,45,37,8,0.822
Robert Parish,Dennis Rodman,31,26,5,0.839
Robert Parish,Toni Kukoč,29,25,4,0.862
Rod Thorn,Lenny Wilkens,223,105,118,0.471
Rod Thorn,Richie Guerin,131,62,69,0.473
Rod Thorn,Zelmo Beaty,100,49,51,0.49
Rod Thorn,Dave DeBusschere,99,35,64,0.354
Rod Thorn,Lou Hudson,75,32,43,0.427
Rod Thorn,Gus Johnson,75,30,45,0.4
Rod Thorn,Walt Bellamy,75,30,45,0.4
Rod Thorn,Cliff Hagan,52,26,26,0.5
Rod Thorn,Spencer Haywood,27,14,13,0.519
Roger Brown,Mel Daniels,555,340,215,0.613
Roger Brown,George McGinnis,286,161,125,0.563
Roger Brown,Gus Johnson,55,32,23,0.582
Roger Brown,Moses Malone,38,19,19,0.5
Russell Westbrook,Kevin Durant,608,378,230,0.622
Russell Westbrook,James Harden,326,209,117,0.641
Russell Westbrook,Paul George,168,95,73,0.565
Russell Westbrook,Carmelo Anthony,153,75,78,0.49
Russell Westbrook,LeBron James,97,46,51,0.474
Russell Westbrook,Anthony Davis,69,31,38,0.449
Russell Westbrook,Dwight Howard,58,20,38,0.345
Russell Westbrook,Kawhi Leonard,20,11,9,0.55
Sam Jones,Bill Russell,999,717,282,0.718
Sam Jones,Tom Sanders,763,542,221,0.71
Sam Jones,K.C. Jones,745,540,205,0.725
Sam Jones,Tom Heinsohn,645,471,174,0.73
Sam Jones,John Havlicek,598,418,180,0.699
Sam Jones,Frank Ramsey,573,415,158,0.724
Sam Jones,Bob Cousy,476,345,131,0.725
Sam Jones,Bill Sharman,292,210,82,0.719
Sam Jones,Bailey Howell,257,171,86,0.665
Sam Jones,Wayne Embry,155,109,46,0.703
Sam Jones,Clyde Lovellette,111,80,31,0.721
Sam Jones,Andy Phillip,62,40,22,0.645
Sam Jones,Arnie Risen,56,36,20,0.643
Sam Jones,Carl Braun,53,43,10,0.811
Scottie Pippen,Michael Jordan,859,631,228,0.735
Scottie Pippen,Toni Kukoč,388,297,91,0.765
Scottie Pippen,Dennis Rodman,216,181,35,0.838
Scottie Pippen,Arvydas Sabonis,195,127,68,0.651
Scottie Pippen,Hakeem Olajuwon,54,32,22,0.593
Scottie Pippen,Charles Barkley,46,28,18,0.609
Scottie Pippen,Robert Parish,45,37,8,0.822
Scottie Pippen,Artis Gilmore,22,15,7,0.682
Shaquille O'Neal,Kobe Bryant,580,412,168,0.71
Shaquille O'Neal,Gary Payton,208,142,66,0.683
Shaquille O'Neal,Dwyane Wade,205,130,75,0.634
Shaquille O'Neal,Alonzo Mourning,158,97,61,0.614
Shaquille O'Neal,Grant Hill,102,58,44,0.569
Shaquille O'Neal,Steve Nash,101,58,43,0.574
Shaquille O'Neal,Amar'e Stoudemire,79,46,33,0.582
Shaquille O'Neal,LeBron James,64,46,18,0.719
Shaquille O'Neal,Karl Malone,61,44,17,0.721
Shaquille O'Neal,Mitch Richmond,54,42,12,0.778
Shaquille O'Neal,Ray Allen,39,29,10,0.744
Shaquille O'Neal,Paul Pierce,39,29,10,0.744
Shaquille O'Neal,Kevin Garnett,30,23,7,0.767
Shaquille O'Neal,Dennis Rodman,23,17,6,0.739
Shaquille O'Neal,Shawn Marion,1,0,1,0
Shawn Marion,Amar'e Stoudemire,370,235,135,0.635
Shawn Marion,Dirk Nowitzki,362,221,141,0.61
Shawn Marion,Jason Kidd,347,226,121,0.651
Shawn Marion,Steve Nash,319,230,89,0.721
Shawn Marion,Vince Carter,210,110,100,0.524
Shawn Marion,Kyrie Irving,56,38,18,0.679
Shawn Marion,LeBron James,55,38,17,0.691
Shawn Marion,Kevin Love,54,36,18,0.667
Shawn Marion,Dwyane Wade,54,24,30,0.444
Shawn Marion,Grant Hill,40,28,12,0.7
Shawn Marion,Chris Bosh,26,12,14,0.462
Shawn Marion,Alonzo Mourning,1,0,1,0
Shawn Marion,Shaquille O'Neal,1,0,1,0
Sidney Moncrief,Bob Lanier,312,204,108,0.654
Sidney Moncrief,Jack Sikma,181,97,84,0.536
Sidney Moncrief,Moses Malone,77,41,36,0.532
Sidney Moncrief,Dominique Wilkins,76,41,35,0.539
Sidney Moncrief,Tiny Archibald,45,30,15,0.667
Sidney Moncrief,Dave Cowens,40,25,15,0.625
Sidney Moncrief,Bob Dandridge,11,7,4,0.636
Slater Martin,Vern Mikkelsen,549,344,205,0.627
Slater Martin,Jim Pollard,444,291,153,0.655
Slater Martin,George Mikan,437,289,148,0.661
Slater Martin,Clyde Lovellette,364,217,147,0.596
Slater Martin,Cliff Hagan,270,164,106,0.607
Slater Martin,Bob Pettit,269,163,106,0.606
Slater Martin,Ed Macauley,150,87,63,0.58
Slater Martin,Larry Foust,18,13,5,0.722
Slater Martin,Nat Clifton,13,8,5,0.615
Slater Martin,Dick McGuire,13,8,5,0.615
Slater Martin,Harry Gallatin,13,8,5,0.615
Slater Martin,Richie Guerin,13,8,5,0.615
Slater Martin,Carl Braun,13,8,5,0.615
Spencer Haywood,Earl Monroe,192,94,98,0.49
Spencer Haywood,Bob McAdoo,104,54,50,0.519
Spencer Haywood,Lenny Wilkens,99,59,40,0.596
Spencer Haywood,Bill Bradley,98,46,52,0.469
Spencer Haywood,Jamaal Wilkes,87,63,24,0.724
Spencer Haywood,Kareem Abdul-Jabbar,87,63,24,0.724
Spencer Haywood,Magic Johnson,84,61,23,0.726
Spencer Haywood,Walt Frazier,84,40,44,0.476
Spencer Haywood,Gail Goodrich,28,11,17,0.393
Spencer Haywood,Rod Thorn,27,14,13,0.519
Spencer Haywood,Pete Maravich,11,3,8,0.273
Stephen Curry,Draymond Green,791,565,226,0.714
Stephen Curry,Klay Thompson,743,534,209,0.719
Stephen Curry,Kevin Durant,210,164,46,0.781
Steve Nash,Dirk Nowitzki,432,267,165,0.618
Steve Nash,Amar'e Stoudemire,405,279,126,0.689
Steve Nash,Grant Hill,364,214,150,0.588
Steve Nash,Shawn Marion,319,230,89,0.721
Steve Nash,Jason Kidd,107,70,37,0.654
Steve Nash,Shaquille O'Neal,101,58,43,0.574
Steve Nash,Tim Hardaway,54,37,17,0.685
Steve Nash,Kobe Bryant,48,25,23,0.521
Steve Nash,Vince Carter,46,24,22,0.522
Steve Nash,Dwight Howard,46,23,23,0.5
Steve Nash,Pau Gasol,35,14,21,0.4
Steve Nash,Dennis Rodman,12,3,9,0.25
Tim Duncan,Tony Parker,1214,864,350,0.712
Tim Duncan,Manu Ginóbili,1055,756,299,0.717
Tim Duncan,David Robinson,481,331,150,0.688
Tim Duncan,Kawhi Leonard,358,271,87,0.757
Tim Duncan,Tracy McGrady,6,4,2,0.667
Tim Hardaway,Chris Mullin,351,182,169,0.519
Tim Hardaway,Alonzo Mourning,293,190,103,0.648
Tim Hardaway,Šarūnas Marčiulionis,237,126,111,0.532
Tim Hardaway,Mitch Richmond,161,78,83,0.484
Tim Hardaway,Steve Nash,54,37,17,0.685
Tim Hardaway,Dirk Nowitzki,52,36,16,0.692
Tim Hardaway,Reggie Miller,14,8,6,0.571
Tiny Archibald,Larry Bird,331,239,92,0.722
Tiny Archibald,Kevin McHale,246,175,71,0.711
Tiny Archibald,Robert Parish,240,171,69,0.713
Tiny Archibald,Dave Cowens,128,75,53,0.586
Tiny Archibald,Sidney Moncrief,45,30,15,0.667
Tiny Archibald,Bob Lanier,42,28,14,0.667
Tiny Archibald,Jo Jo White,37,14,23,0.378
Tiny Archibald,Pete Maravich,33,23,10,0.697
Tiny Archibald,Bob McAdoo,19,3,16,0.158
Tiny Archibald,Mel Daniels,12,4,8,0.333
Tom Gola,Paul Arizin,429,245,184,0.571
Tom Gola,Guy Rodgers,286,162,124,0.566
Tom Gola,Wilt Chamberlain,248,145,103,0.585
Tom Gola,Neil Johnston,168,95,73,0.565
Tom Gola,Al Attles,159,93,66,0.585
Tom Gola,Willis Reed,147,56,91,0.381
Tom Gola,Walt Bellamy,66,26,40,0.394
Tom Gola,Richie Guerin,53,14,39,0.264
Tom Heinsohn,Bill Russell,715,522,193,0.73
Tom Heinsohn,Sam Jones,645,471,174,0.73
Tom Heinsohn,Frank Ramsey,628,454,174,0.723
Tom Heinsohn,K.C. Jones,566,412,154,0.728
Tom Heinsohn,Bob Cousy,559,402,157,0.719
Tom Heinsohn,Tom Sanders,421,310,111,0.736
Tom Heinsohn,Bill Sharman,377,269,108,0.714
Tom Heinsohn,John Havlicek,247,180,67,0.729
Tom Heinsohn,Andy Phillip,156,102,54,0.654
Tom Heinsohn,Arnie Risen,124,79,45,0.637
Tom Heinsohn,Clyde Lovellette,111,81,30,0.73
Tom Heinsohn,Carl Braun,55,44,11,0.8
Tom Sanders,John Havlicek,858,580,278,0.676
Tom Sanders,Bill Russell,796,567,229,0.712
Tom Sanders,Sam Jones,763,542,221,0.71
Tom Sanders,K.C. Jones,619,449,170,0.725
Tom Sanders,Tom Heinsohn,421,310,111,0.736
Tom Sanders,Frank Ramsey,346,254,92,0.734
Tom Sanders,Bailey Howell,332,203,129,0.611
Tom Sanders,Bob Cousy,254,187,67,0.736
Tom Sanders,Jo Jo White,205,131,74,0.639
Tom Sanders,Dave Cowens,171,120,51,0.702
Tom Sanders,Wayne Embry,163,113,50,0.693
Tom Sanders,Clyde Lovellette,117,84,33,0.718
Tom Sanders,Bill Sharman,62,48,14,0.774
Tom Sanders,Carl Braun,55,44,11,0.8
Tom Sanders,Paul Westphal,50,43,7,0.86
Toni Kukoč,Scottie Pippen,388,297,91,0.765
Toni Kukoč,Michael Jordan,294,239,55,0.813
Toni Kukoč,Dennis Rodman,230,190,40,0.826
Toni Kukoč,Allen Iverson,86,62,24,0.721
Toni Kukoč,Gary Payton,33,17,16,0.515
Toni Kukoč,Ray Allen,31,19,12,0.613
Toni Kukoč,Robert Parish,29,25,4,0.862
Tony Parker,Tim Duncan,1214,864,350,0.712
Tony Parker,Manu Ginóbili,1143,811,332,0.71
Tony Parker,Kawhi Leonard,438,326,112,0.744
Tony Parker,David Robinson,164,113,51,0.689
Tony Parker,Pau Gasol,116,76,40,0.655
Tony Parker,Tracy McGrady,6,4,2,0.667
Tracy McGrady,Yao Ming,234,152,82,0.65
Tracy McGrady,Dikembe Mutombo,234,148,86,0.632
Tracy McGrady,Vince Carter,131,67,64,0.511
Tracy McGrady,Patrick Ewing,64,35,29,0.547
Tracy McGrady,Ben Wallace,54,20,34,0.37
Tracy McGrady,Grant Hill,43,20,23,0.465
Tracy McGrady,Chauncey Billups,28,5,23,0.179
Tracy McGrady,Kyle Lowry,6,4,2,0.667
Tracy McGrady,Tony Parker,6,4,2,0.667
Tracy McGrady,Kawhi Leonard,6,4,2,0.667
Tracy McGrady,Tim Duncan,6,4,2,0.667
Tracy McGrady,Manu Ginóbili,6,4,2,0.667
Vern Mikkelsen,Slater Martin,549,344,205,0.627
Vern Mikkelsen,Jim Pollard,444,291,153,0.655
Vern Mikkelsen,George Mikan,437,289,148,0.661
Vern Mikkelsen,Clyde Lovellette,312,167,145,0.535
Vern Mikkelsen,Larry Foust,157,58,99,0.369
Vern Mikkelsen,Elgin Baylor,83,39,44,0.47
Vince Carter,Jason Kidd,335,181,154,0.54
Vince Carter,Shawn Marion,210,110,100,0.524
Vince Carter,Dirk Nowitzki,202,111,91,0.55
Vince Carter,Tracy McGrady,131,67,64,0.511
Vince Carter,Dwight Howard,109,76,33,0.697
Vince Carter,Chris Bosh,86,36,50,0.419
Vince Carter,Grant Hill,49,24,25,0.49
Vince Carter,Hakeem Olajuwon,47,21,26,0.447
Vince Carter,Steve Nash,46,24,22,0.522
Vlade Divac,Chris Webber,378,239,139,0.632
Vlade Divac,James Worthy,360,214,146,0.594
Vlade Divac,Magic Johnson,221,158,63,0.715
Vlade Divac,Kobe Bryant,13,7,6,0.538
Walt Bellamy,Lou Hudson,330,158,172,0.479
Walt Bellamy,Pete Maravich,308,143,165,0.464
Walt Bellamy,Willis Reed,272,123,149,0.452
Walt Bellamy,Gus Johnson,166,71,95,0.428
Walt Bellamy,Walt Frazier,112,59,53,0.527
Walt Bellamy,Bailey Howell,97,44,53,0.454
Walt Bellamy,Dave Bing,93,34,59,0.366
Walt Bellamy,Bill Bradley,86,44,42,0.512
Walt Bellamy,Rod Thorn,75,30,45,0.4
Walt Bellamy,Tom Gola,66,26,40,0.394
Walt Bellamy,Richie Guerin,5,1,4,0.2
Walt Frazier,Bill Bradley,781,465,316,0.595
Walt Frazier,Dave DeBusschere,502,329,173,0.655
Walt Frazier,Willis Reed,463,303,160,0.654
Walt Frazier,Earl Monroe,416,233,183,0.56
Walt Frazier,Jerry Lucas,254,159,95,0.626
Walt Frazier,Walt Bellamy,112,59,53,0.527
Walt Frazier,Spencer Haywood,84,40,44,0.476
Walt Frazier,Bob McAdoo,51,24,27,0.471
Wayne Embry,Jack Twyman,616,293,323,0.476
Wayne Embry,Oscar Robertson,480,267,213,0.556
Wayne Embry,Jerry Lucas,240,143,97,0.596
Wayne Embry,John Havlicek,171,118,53,0.69
Wayne Embry,Bailey Howell,171,118,53,0.69
Wayne Embry,Bill Russell,167,116,51,0.695
Wayne Embry,Tom Sanders,163,113,50,0.693
Wayne Embry,Sam Jones,155,109,46,0.703
Wayne Embry,Guy Rodgers,77,26,51,0.338
Wayne Embry,K.C. Jones,75,54,21,0.72
Wes Unseld,Elvin Hayes,747,427,320,0.572
Wes Unseld,Earl Monroe,266,158,108,0.594
Wes Unseld,Gus Johnson,245,151,94,0.616
Wes Unseld,Bob Dandridge,243,132,111,0.543
Wes Unseld,Dave Bing,157,88,69,0.561
Willis Reed,Walt Frazier,463,303,160,0.654
Willis Reed,Bill Bradley,434,282,152,0.65
Willis Reed,Dave DeBusschere,357,241,116,0.675
Willis Reed,Walt Bellamy,272,123,149,0.452
Willis Reed,Tom Gola,147,56,91,0.381
Willis Reed,Jerry Lucas,110,69,41,0.627
Willis Reed,Earl Monroe,94,62,32,0.66
Wilt Chamberlain,Guy Rodgers,454,238,216,0.524
Wilt Chamberlain,Jerry West,356,257,99,0.722
Wilt Chamberlain,Al Attles,353,183,170,0.518
Wilt Chamberlain,Chet Walker,320,228,92,0.713
Wilt Chamberlain,Hal Greer,311,224,87,0.72
Wilt Chamberlain,Gail Goodrich,281,199,82,0.708
Wilt Chamberlain,Billy Cunningham,256,192,64,0.75
Wilt Chamberlain,Paul Arizin,250,147,103,0.588
Wilt Chamberlain,Tom Gola,248,145,103,0.585
Wilt Chamberlain,Elgin Baylor,133,85,48,0.639
Wilt Chamberlain,Nate Thurmond,125,61,64,0.488
Wilt Chamberlain,Larry Costello,109,81,28,0.743
Yao Ming,Tracy McGrady,234,152,82,0.65
Yao Ming,Dikembe Mutombo,198,117,81,0.591
Yao Ming,Kyle Lowry,38,23,15,0.605
Zelmo Beaty,Lenny Wilkens,459,262,197,0.571
Zelmo Beaty,Cliff Hagan,325,176,149,0.542
Zelmo Beaty,Richie Guerin,304,162,142,0.533
Zelmo Beaty,Bob Pettit,215,126,89,0.586
Zelmo Beaty,Lou Hudson,190,106,84,0.558
Zelmo Beaty,Rod Thorn,100,49,51,0.49
Zelmo Beaty,Gail Goodrich,60,20,40,0.333
Zelmo Beaty,Connie Hawkins,32,13,19,0.406
Šarūnas Marčiulionis,Tim Hardaway,237,126,111,0.532
Šarūnas Marčiulionis,Chris Mullin,225,121,104,0.538
Šarūnas Marčiulionis,Mitch Richmond,183,93,90,0.508
Šarūnas Marčiulionis,Gary Payton,66,46,20,0.697
